file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,397924,388271,11044,65160,321720,321720,76204
pmap2.txt,398500,388578,11372,64748,322380,322380,76120
pmap3.txt,398760,388948,11240,65264,322256,322256,76504
pmap4.txt,391244,381386,11304,64972,314968,314968,76276
pmap5.txt,398384,388645,11152,64884,322348,322348,76036
pmap6.txt,398964,389296,11056,64928,322980,322980,75984
pmap7.txt,391600,381672,11368,65248,314984,314984,76616
pmap8.txt,399000,389064,11384,65224,322392,322392,76608
