file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,310556,301201,10740,43320,256496,256496,54060
pmap2.txt,310284,300874,10816,43444,256024,256024,54260
pmap3.txt,311028,301533,10848,43884,256296,256296,54732
pmap4.txt,313596,304112,10832,43428,259336,259336,54260
pmap5.txt,307908,298452,10816,43524,253568,253568,54340
pmap6.txt,323448,313898,10904,43876,268668,268668,54780
pmap7.txt,304696,295212,10832,43448,250416,250416,54280
pmap8.txt,310872,301298,10932,43752,256188,256188,54684
