file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,313692,303566,10772,43288,259632,259632,54060
pmap2.txt,313124,302921,10864,43396,258864,258864,54260
pmap3.txt,311028,300826,10852,43880,256296,256296,54732
pmap4.txt,313596,303414,10832,43428,259336,259336,54260
pmap5.txt,307908,297734,10832,43508,253568,253568,54340
pmap6.txt,323448,313191,10904,43876,268668,268668,54780
pmap7.txt,304696,294514,10832,43448,250416,250416,54280
pmap8.txt,310872,300589,10932,43752,256188,256188,54684
pmap9.txt,309880,299634,10892,43876,255112,255112,54768
pmap10.txt,311104,300821,10932,43836,256336,256336,54768
pmap11.txt,306548,296345,10864,43396,252288,252288,54260
pmap12.txt,308776,298650,10772,43300,254704,254704,54072
pmap13.txt,308544,298349,10852,43288,254404,254404,54140
pmap14.txt,310824,300785,10676,43676,256472,256472,54352
pmap15.txt,312048,301850,10844,43824,257380,257380,54668
pmap16.txt,307244,297056,10856,43824,252564,252564,54680
