file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,397376,387645,11116,64684,321576,321576,75800
pmap2.txt,398920,389222,11084,65152,322684,322684,76236
pmap3.txt,398648,388804,11352,65696,321600,321600,77048
pmap4.txt,398620,388922,11084,65152,322384,322384,76236
pmap5.txt,398976,389279,11084,64892,323000,323000,75976
pmap6.txt,394332,384642,11108,64668,318556,318556,75776
pmap7.txt,398884,389024,11348,65692,321844,321844,77040
pmap8.txt,399936,390239,11084,64884,323968,323968,75968
