file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,311284,226051,10920,41396,169260,258968,52316
pmap2.txt,321724,239628,10972,41724,185708,269028,52696
pmap3.txt,353140,270957,10844,41660,216936,300636,52504
pmap4.txt,311020,229308,11036,41772,175720,258212,52808
pmap5.txt,316152,234426,11024,41392,181240,263736,52416
pmap6.txt,312180,230480,11060,41288,177472,259832,52348
pmap7.txt,321972,239160,10984,41496,184716,269492,52480
pmap8.txt,310864,226683,10892,41400,170964,258572,52292
