file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,326896,316514,11048,43336,272512,272512,54384
pmap2.txt,326008,315499,11176,43776,271056,271056,54952
pmap3.txt,318508,308013,11160,43704,263644,263644,54864
pmap4.txt,320064,309596,11132,43740,265192,265192,54872
pmap5.txt,315476,304993,11164,43964,260348,260348,55128
pmap6.txt,317844,307335,11176,43772,262896,262896,54948
pmap7.txt,320696,310224,11152,43964,265580,265580,55116
pmap8.txt,311952,301520,11100,43724,257128,257128,54824
pmap9.txt,317392,306923,11132,44200,262060,262060,55332
pmap10.txt,316372,305903,11132,44220,261020,261020,55352
pmap11.txt,323140,312750,11072,44196,267872,267872,55268
pmap12.txt,314968,304629,11000,43376,260592,260592,54376
pmap13.txt,315876,305483,11072,44476,260328,260328,55548
pmap14.txt,325000,314766,10888,43976,270136,270136,54864
pmap15.txt,318040,307631,11072,43816,263152,263152,54888
pmap16.txt,320528,310026,11168,43804,265556,265556,54972
