file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,321600,311699,11336,43564,266700,266700,54900
pmap2.txt,322032,312214,11236,43344,267452,267452,54580
pmap3.txt,319848,309948,11356,44020,264472,264472,55376
pmap4.txt,319160,309450,11124,43640,264396,264396,54764
pmap5.txt,315936,306031,11340,43564,261032,261032,54904
pmap6.txt,313212,303502,11128,43920,258164,258164,55048
pmap7.txt,309220,299344,11328,44340,253552,253552,55668
pmap8.txt,318316,308534,11208,43732,263376,263376,54940
