file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,327068,237832,11360,43700,187488,272008,55060
pmap2.txt,333728,242784,11536,44284,189708,277908,55820
pmap3.txt,314732,224332,11604,44268,172664,258860,55872
pmap4.txt,326568,237423,11508,43208,187116,271852,54716
pmap5.txt,322544,232422,11520,43232,181208,267792,54752
pmap6.txt,315572,226115,11364,43952,174628,260256,55316
pmap7.txt,329932,233890,11304,43760,177608,274868,55064
pmap8.txt,337448,249386,11480,43564,199816,282404,55044
pmap9.txt,344624,255544,11380,43536,204856,289708,54916
pmap10.txt,324100,235927,11468,43564,186236,269068,55032
pmap11.txt,318508,229639,11316,43760,178896,263432,55076
pmap12.txt,331120,241700,11624,44268,190200,275228,55892
pmap13.txt,311308,220591,11452,43868,168004,255988,55320
pmap14.txt,338136,241353,11524,44284,184068,282328,55808
pmap15.txt,333092,243500,11548,43780,192236,277764,55328
pmap16.txt,317204,227758,11524,44284,176128,261396,55808
