file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,397380,387464,11364,65376,320640,320640,76740
pmap2.txt,399536,389719,11256,65828,322452,322452,77084
pmap3.txt,390948,381116,11268,64816,314864,314864,76084
pmap4.txt,397940,388304,11020,64848,322072,322072,75868
pmap5.txt,399352,389421,11388,65472,322492,322492,76860
pmap6.txt,398120,388365,11172,64576,322372,322372,75748
pmap7.txt,391476,381553,11364,65212,314900,314900,76576
pmap8.txt,397788,388089,11108,64932,321748,321748,76040
