file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,314920,233083,11160,43956,177360,259804,55116
pmap2.txt,323788,241254,11384,44008,184872,268396,55392
pmap3.txt,316764,234878,11348,44056,179076,261360,55404
pmap4.txt,315652,233833,11124,43572,178456,260956,54696
pmap5.txt,316740,234575,11272,43864,178656,261604,55136
pmap6.txt,324788,242769,11356,43712,187184,269720,55068
pmap7.txt,321780,239921,11132,43136,184956,267512,54268
pmap8.txt,324000,241676,11288,43804,185648,268908,55092
