file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,312860,231454,10788,41448,178384,260624,52236
pmap2.txt,324500,242983,10916,41624,189648,271960,52540
pmap3.txt,328532,242319,10896,41872,184036,275764,52768
pmap4.txt,315440,233454,10984,41108,180284,263348,52092
pmap5.txt,314096,232536,10896,41224,179608,261976,52120
pmap6.txt,329964,243538,10884,41632,185272,277448,52516
pmap7.txt,316428,234587,10968,41112,181532,264348,52080
pmap8.txt,316192,234760,10824,41448,181680,263920,52272
