file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,294792,284940,11252,43364,240176,240176,54616
pmap2.txt,319616,309644,11404,44364,263848,263848,55768
pmap3.txt,326160,316282,11292,43612,271256,271256,54904
pmap4.txt,317516,307534,11416,44348,261752,261752,55764
pmap5.txt,316028,306342,11132,43604,261292,261292,54736
pmap6.txt,310768,300933,11232,43352,256184,256184,54584
pmap7.txt,322408,312740,11112,43652,267644,267644,54764
pmap8.txt,313812,303830,11416,44376,258020,258020,55792
