file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,402896,184765,10744,63292,90304,328860,74036
pmap2.txt,403220,184908,10988,63780,89896,328452,74768
pmap3.txt,404184,185892,10908,64256,90392,329020,75164
pmap4.txt,402200,183938,10900,63188,89568,328112,74088
pmap5.txt,402416,184067,10964,63196,89628,328256,74160
pmap6.txt,401932,183585,11020,63524,88832,327388,74544
pmap7.txt,395024,176696,10992,63336,82140,320696,74328
pmap8.txt,402964,184625,11012,63604,89804,328348,74616
