file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,398228,387561,11368,65076,321784,321784,76444
pmap2.txt,398812,388146,11380,64716,322716,322716,76096
pmap3.txt,392004,381333,11368,65644,314992,314992,77012
pmap4.txt,398536,388078,11144,64572,322820,322820,75716
pmap5.txt,398980,388313,11368,65168,322444,322444,76536
pmap6.txt,399724,389058,11380,64884,323460,323460,76264
pmap7.txt,397960,387369,11276,65060,321624,321624,76336
pmap8.txt,397700,387324,11044,64756,321900,321900,75800
pmap9.txt,398264,387778,11152,64884,322228,322228,76036
pmap10.txt,398728,388110,11312,65300,322116,322116,76612
pmap11.txt,398392,387906,11152,64884,322356,322356,76036
pmap12.txt,397696,387245,11124,64588,321984,321984,75712
pmap13.txt,398408,387922,11152,64884,322372,322372,76036
pmap14.txt,397792,387384,11080,64888,321824,321824,75968
pmap15.txt,398976,388320,11348,65708,321920,321920,77056
pmap16.txt,398508,387874,11328,65648,321532,321532,76976
