file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,390616,380166,11116,64684,314816,314816,75800
pmap2.txt,398920,388496,11084,65152,322684,322684,76236
pmap3.txt,398648,387978,11372,65676,321600,321600,77048
pmap4.txt,398620,388196,11084,65152,322384,322384,76236
pmap5.txt,398976,388569,11084,64892,323000,323000,75976
pmap6.txt,394332,383864,11176,64600,318556,318556,75776
pmap7.txt,398884,388227,11352,65688,321844,321844,77040
pmap8.txt,399936,389529,11084,64884,323968,323968,75968
pmap9.txt,398112,387688,11084,65016,322012,322012,76100
pmap10.txt,391596,380973,11332,65280,314984,314984,76612
pmap11.txt,398880,388286,11300,65308,322272,322272,76608
pmap12.txt,398372,387841,11248,64892,322232,322232,76140
pmap13.txt,397668,387274,11052,65016,321600,321600,76068
pmap14.txt,399364,388752,11304,65688,322372,322372,76992
pmap15.txt,391320,380720,11284,65100,314936,314936,76384
pmap16.txt,399108,388481,11336,65300,322472,322472,76636
