file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,314332,304670,11040,43344,259948,259948,54384
pmap2.txt,322640,312849,11176,43776,267688,267688,54952
pmap3.txt,318508,308730,11160,43704,263644,263644,54864
pmap4.txt,320064,310332,11112,43760,265192,265192,54872
pmap5.txt,315476,305760,11164,43964,260348,260348,55128
pmap6.txt,317844,308053,11176,43772,262896,262896,54948
pmap7.txt,320696,310990,11152,43964,265580,265580,55116
pmap8.txt,311952,302236,11100,43724,257128,257128,54824
