file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,314428,227180,10788,41448,179952,262192,52236
pmap2.txt,327636,236862,11028,41512,186220,275096,52540
pmap3.txt,328532,234953,10896,41872,182504,275764,52768
pmap4.txt,315440,227412,10984,41108,180000,263348,52092
pmap5.txt,314096,226269,10900,41220,178784,261976,52120
pmap6.txt,329964,236733,10884,41632,184580,277448,52516
pmap7.txt,316428,228604,10968,41112,181276,264348,52080
pmap8.txt,316192,228300,10860,41412,180544,263920,52272
pmap9.txt,311788,223582,11024,41404,175660,259360,52428
pmap10.txt,344488,256221,11104,41480,208200,291904,52584
pmap11.txt,322240,228280,10860,41396,175568,269984,52256
pmap12.txt,322440,234473,11000,41512,186596,269928,52512
pmap13.txt,311220,221054,10916,41204,171364,259100,52120
pmap14.txt,319832,231337,10856,41636,182760,267340,52492
pmap15.txt,317416,224009,11028,41304,171700,265084,52332
pmap16.txt,346224,256036,11076,41488,206008,293660,52564
