file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,391468,381525,11368,65076,315024,315024,76444
pmap2.txt,398476,388527,11380,64716,322380,322380,76096
pmap3.txt,392004,382137,11336,65676,314992,314992,77012
pmap4.txt,398536,388800,11132,64584,322820,322820,75716
pmap5.txt,398980,389037,11368,65168,322444,322444,76536
pmap6.txt,399724,389775,11380,64884,323460,323460,76264
pmap7.txt,397960,388167,11248,65088,321624,321624,76336
pmap8.txt,397700,388066,11024,64776,321900,321900,75800
