file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,321944,239067,11332,43728,182588,266884,55060
pmap2.txt,330104,246296,11536,44284,188476,274284,55820
pmap3.txt,314732,231122,11576,44296,173500,258860,55872
pmap4.txt,326568,243417,11508,43208,187316,271852,54716
pmap5.txt,322544,239385,11520,43232,183260,267792,54752
pmap6.txt,315572,233703,11344,43972,178012,260256,55316
pmap7.txt,329932,245535,11288,43776,187456,274868,55064
pmap8.txt,337448,255478,11468,43576,200160,282404,55044
