file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,397592,386923,11364,65376,320852,320852,76740
pmap2.txt,399536,388922,11304,65780,322452,322452,77084
pmap3.txt,390948,380355,11288,64796,314864,314864,76084
pmap4.txt,397940,387585,11020,64848,322072,322072,75868
pmap5.txt,399352,388661,11392,65468,322492,322492,76860
pmap6.txt,398120,387631,11172,64576,322372,322372,75748
pmap7.txt,391476,380797,11368,65208,314900,314900,76576
pmap8.txt,397788,387325,11136,64904,321748,321748,76040
pmap9.txt,398516,387889,11324,65076,322116,322116,76400
pmap10.txt,398352,387754,11288,65096,321968,321968,76384
pmap11.txt,398612,387974,11328,65332,321952,321952,76660
pmap12.txt,398492,387854,11336,65076,322080,322080,76412
pmap13.txt,398524,387865,11352,65688,321484,321484,77040
pmap14.txt,398768,388092,11372,65648,321748,321748,77020
pmap15.txt,397948,387470,11152,64940,321856,321856,76092
pmap16.txt,398592,387913,11376,64888,322328,322328,76264
