file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,413180,179381,10748,63288,100488,339144,74036
pmap2.txt,414260,180286,11020,63748,100936,339492,74768
pmap3.txt,404184,170245,10908,64256,90392,329020,75164
pmap4.txt,402200,168314,10904,63184,89568,328112,74088
pmap5.txt,402416,168434,10964,63196,89616,328256,74160
pmap6.txt,401932,167932,11020,63524,88832,327388,74544
pmap7.txt,395024,161048,10996,63332,82140,320696,74328
pmap8.txt,402964,168991,11012,63604,89792,328348,74616
pmap9.txt,403748,169781,10976,63752,90464,329020,74728
pmap10.txt,401668,167848,10828,63068,89228,327772,73896
pmap11.txt,402896,168888,11028,63480,89832,328388,74508
pmap12.txt,394628,160749,10828,63108,82036,320692,73936
pmap13.txt,404336,170366,11020,63712,91060,329604,74732
pmap14.txt,403616,169588,11040,63480,90528,329096,74520
pmap15.txt,395332,161360,10988,63756,82044,320588,74744
pmap16.txt,402696,168814,10892,64212,89048,327592,75104
