file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,391956,381377,11264,65724,314968,314968,76988
pmap2.txt,399924,389315,11308,65788,322828,322828,77096
pmap3.txt,398196,387868,10988,64828,322380,322380,75816
pmap4.txt,391708,381041,11368,65068,315272,315272,76436
pmap5.txt,397536,387061,11152,64884,321500,321500,76036
pmap6.txt,397760,387351,11080,65036,321644,321644,76116
pmap7.txt,399348,388736,11320,65080,322948,322948,76400
pmap8.txt,398120,387666,11128,64584,322408,322408,75712
pmap9.txt,398400,387765,11332,65316,321752,321752,76648
pmap10.txt,391364,380774,11288,65096,314980,314980,76384
pmap11.txt,398252,387666,11288,64828,322136,322136,76116
pmap12.txt,391932,381353,11264,65688,314980,314980,76952
pmap13.txt,397824,387154,11376,64940,321508,321508,76316
pmap14.txt,399512,388822,11400,65492,322620,322620,76892
pmap15.txt,397264,386791,11160,64528,321576,321576,75688
pmap16.txt,390776,380396,11044,64728,315004,315004,75772
