file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,328768,241321,10984,42044,181708,275740,53028
pmap2.txt,316620,232946,11044,42064,177128,263512,53108
pmap3.txt,320808,239314,10896,42232,185436,267680,53128
pmap4.txt,314472,227016,10884,42364,167052,261224,53248
pmap5.txt,313356,231835,10944,41624,178548,260788,52568
pmap6.txt,324692,240559,10924,42232,184064,271536,53156
pmap7.txt,338688,257069,11064,42140,203240,285484,53204
pmap8.txt,333316,247060,10996,41896,188792,280424,52892
