file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,406904,397622,10628,66560,329716,329716,77188
pmap2.txt,408172,398746,10800,67000,330372,330372,77800
pmap3.txt,407004,397515,10856,66260,329888,329888,77116
pmap4.txt,407408,398023,10736,67104,329568,329568,77840
pmap5.txt,406172,396641,10932,66404,328836,328836,77336
pmap6.txt,400256,390812,10812,67068,322376,322376,77880
pmap7.txt,399500,390011,10856,66260,322384,322384,77116
pmap8.txt,407028,397500,10928,66412,329688,329688,77340
