file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,397924,387535,11052,65152,321720,321720,76204
pmap2.txt,398500,387821,11372,64748,322380,322380,76120
pmap3.txt,398760,388179,11288,65216,322256,322256,76504
pmap4.txt,391244,380611,11324,64952,314968,314968,76276
pmap5.txt,398384,387905,11152,64884,322348,322348,76036
pmap6.txt,398964,388561,11080,64904,322980,322980,75984
pmap7.txt,391600,380923,11368,65248,314984,314984,76616
pmap8.txt,399000,388315,11384,65224,322392,322392,76608
pmap9.txt,391416,380780,11328,65076,315012,315012,76404
pmap10.txt,399380,388732,11340,65076,322964,322964,76416
pmap11.txt,399160,388509,11344,65076,322740,322740,76420
pmap12.txt,394040,383355,11380,65208,317452,317452,76588
pmap13.txt,397640,387210,11096,65016,321528,321528,76112
pmap14.txt,397784,387344,11116,64588,322080,322080,75704
pmap15.txt,399340,388749,11296,65664,322380,322380,76960
pmap16.txt,397960,387571,11052,65068,321840,321840,76120
