file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,399352,389554,11248,65740,322364,322364,76988
pmap2.txt,399480,389633,11292,65804,322384,322384,77096
pmap3.txt,398196,388593,10988,64828,322380,322380,75816
pmap4.txt,391708,381842,11352,65084,315272,315272,76436
pmap5.txt,397536,387785,11148,64888,321500,321500,76036
pmap6.txt,397760,388065,11080,65036,321644,321644,76116
pmap7.txt,399348,389563,11260,65140,322948,322948,76400
pmap8.txt,398120,388393,11128,64584,322408,322408,75712
