file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,320364,232645,11164,43952,182804,265248,55116
pmap2.txt,329464,240331,11404,43988,189152,274072,55392
pmap3.txt,316764,227938,11376,44028,177028,261360,55404
pmap4.txt,315652,227441,11132,43564,177436,260956,54696
pmap5.txt,316740,228547,11284,43852,178404,261604,55136
pmap6.txt,324788,236874,11356,43712,187164,269720,55068
pmap7.txt,321780,233101,11172,43096,183112,267512,54268
pmap8.txt,324000,234773,11292,43800,183608,268908,55092
pmap9.txt,321812,234235,11132,43564,184864,267116,54696
pmap10.txt,315768,227604,11340,43908,177424,260520,55248
pmap11.txt,331400,243120,11348,44464,192296,275588,55812
pmap12.txt,318868,228640,11356,44228,176116,263284,55584
pmap13.txt,313788,225009,11344,43968,174176,258476,55312
pmap14.txt,321876,233778,11144,43960,183512,266772,55104
pmap15.txt,322044,234450,11172,43100,185520,267772,54272
pmap16.txt,316816,227819,11120,43960,176632,261736,55080
