file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,417944,407881,10708,66480,340756,340756,77188
pmap2.txt,419212,409056,10816,66984,341412,341412,77800
pmap3.txt,407004,396810,10856,66260,329888,329888,77116
pmap4.txt,407408,397308,10748,67092,329568,329568,77840
pmap5.txt,406172,395911,10932,66404,328836,328836,77336
pmap6.txt,400256,390099,10812,67068,322376,322376,77880
pmap7.txt,399500,389306,10856,66260,322384,322384,77116
pmap8.txt,407028,396770,10928,66412,329688,329688,77340
pmap9.txt,407416,397331,10732,67092,329592,329592,77824
pmap10.txt,407252,397136,10764,66480,330008,330008,77244
pmap11.txt,409628,399527,10760,67036,331832,331832,77796
pmap12.txt,407976,397715,10932,66404,330640,330640,77336
pmap13.txt,407484,397387,10744,66480,330260,330260,77224
pmap14.txt,406368,396224,10792,66212,329364,329364,77004
pmap15.txt,406924,396859,10704,66672,329548,329548,77376
pmap16.txt,407112,396982,10780,66492,329840,329840,77272
